Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,BP,Comm,Graph
GO_Biological_Process_2018,regulation of defense response (GO:0031347),15/75,0.000111452,0.043516075,0,0,3.517965204,32.02021617,NLRX1;SETD6;ERAP1;NOD1;ADAMTS12;BST1;TKFC;SHPK;TNFSF4;DHX58;CASP1;NLRP2;NLRP3;FCGR2B;MYD88,GO_Biological_Process_2018,c1,PD
KEGG_2019_Human,Drug metabolism,24/108,1.44E-07,4.21E-05,0,0,4.042868023,63.69904336,UGT1A10;GSTK1;UGT1A1;DPYS;CYP3A4;FMO4;UPB1;FMO5;CYP2C9;ALDH1A3;CYP2A6;CYP2D6;NAT2;IMPDH2;UGT1A5;AOX1;UGT1A4;UGT1A3;TK1;UGT1A9;UGT1A8;UGT1A7;CES1;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Ascorbate and aldarate metabolism,11/27,5.50E-07,8.05E-05,0,0,9.66803356,139.3554032,UGT1A10;UGDH;ALDH1B1;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Retinol metabolism,17/67,1.32E-06,0.000128969,0,0,4.794257576,64.90227336,UGT1A10;UGT1A1;CYP3A4;CYP26A1;CYP2C9;CYP2A6;DHRS9;RDH16;UGT1A5;AOX1;RDH5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Pentose and glucuronate interconversions,11/34,7.80E-06,0.000571654,0,0,6.723063807,79.06898135,UGT1A10;UGDH;UGT1A1;UGT1A5;SORD;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Metabolism of xenobiotics by cytochrome P450,16/74,2.43E-05,0.001422436,0,0,3.885248897,41.28511856,UGT1A10;GSTK1;UGT1A1;CYP3A4;ALDH1A3;CYP2C9;CYP2A6;AKR7A3;CYP2D6;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Porphyrin and chlorophyll metabolism,11/42,7.11E-05,0.003049733,0,0,4.985938792,47.62011096,UGT1A10;UGT1A1;HMBS;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;COX10;UGT1A7;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Cytokine-cytokine receptor interaction,38/294,7.29E-05,0.003049733,0,0,2.103378801,20.03881343,EDA;IFNA1;IL25;AMHR2;EDA2R;CXCR1;CCL1;CCR5;IL12RB1;CCR4;IFNA21;IL32;IL15RA;IFNA13;CCL22;CD70;TNFRSF9;LIF;IL19;IL16;GDF3;GDF5;INHBC;ACVR2B;ACVR2A;BMP4;GDF9;CXCL10;BMP3;CXCL12;IL23A;TNFSF4;CLCF1;LTA;TNFSF8;LTB;IL7R;IL9R,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Chemical carcinogenesis,16/82,9.08E-05,0.003325997,0,0,3.412841511,31.76235008,UGT1A10;GSTK1;UGT1A1;CYP3A4;ALDH1A3;CYP2C9;CYP2A6;NAT2;UGT1A5;UGT1A4;UGT1A3;KYAT1;UGT1A9;UGT1A8;UGT1A7;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Steroid hormone biosynthesis,12/60,0.000528974,0.017221038,0,0,3.512264151,26.49852819,UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;CYP3A4;UGT1A9;HSD17B8;UGT1A8;UGT1A7;CYP17A1;UGT1A6,KEGG_2019_Human,c1,PD
KEGG_2019_Human,Measles,20/138,0.000859886,0.025194669,0,0,2.386651738,16.84668333,STAT5A;IFNA13;IFNA1;TRADD;IRAK4;CD3E;RCHY1;CD3D;CASP9;CCNE2;CD209;OAS2;TRAF6;CSNK2B;CDK2;FADD;BAK1;FCGR2B;MYD88;IFNA21,KEGG_2019_Human,c1,PD
GO_Biological_Process_2018,transcription-coupled nucleotide-excision repair (GO:0006283),14/73,2.51E-10,1.58E-07,0,0,11.61344038,256.6987604,RFC5;RFC4;RPA1;RPA2;GTF2H2;COPS4;COPS3;CDK7;COPS5;PAPD7;COPS2;ERCC5;POLR2H;POLR2K,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060),15/87,2.79E-10,1.58E-07,0,0,10.21513819,224.7237136,PSMD14;MAGEF1;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;RNF139;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of cellular amine metabolic process (GO:0033238),12/51,3.93E-10,1.58E-07,0,0,14.99942452,324.8295324,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of cellular amino acid metabolic process (GO:0006521),12/51,3.93E-10,1.58E-07,0,0,14.99942452,324.8295324,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436),13/71,2.02E-09,5.54E-07,0,0,10.94297414,219.0849855,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;CDC23;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),13/72,2.42E-09,5.54E-07,0,0,10.75694915,213.419702,PSMD14;RNF7;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),13/72,2.42E-09,5.54E-07,0,0,10.75694915,213.419702,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of hematopoietic progenitor cell differentiation (GO:1901532),13/77,5.71E-09,6.54E-07,0,0,9.914023438,188.1823515,YTHDF2;PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,negative regulation of ubiquitin protein ligase activity (GO:1904667),13/77,5.71E-09,6.54E-07,0,0,9.914023438,188.1823515,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437),13/76,4.83E-09,6.54E-07,0,0,10.07190476,192.8534819,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,mitochondrial translation (GO:0032543),15/107,5.49E-09,6.54E-07,0,0,7.986262836,151.8973315,MRPS17;TSFM;MTERF3;MRPL18;MRPS22;MRPS33;MRPL17;MTIF2;MRPL15;HARS2;MRPL46;MRPL22;MRPL20;MRPL3;MTRF1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),12/62,4.36E-09,6.54E-07,0,0,11.69296758,225.0950072,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of cellular ketone metabolic process (GO:0010565),12/61,3.58E-09,6.54E-07,0,0,11.93221029,232.0451007,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of hematopoietic stem cell differentiation (GO:1902036),13/76,4.83E-09,6.54E-07,0,0,10.07190476,192.8534819,YTHDF2;PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),13/78,6.72E-09,7.19E-07,0,0,9.761,183.6804891,PSMD14;UBE2D2;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,negative regulation of mitotic cell cycle phase transition (GO:1901991),13/79,7.90E-09,7.45E-07,0,0,9.612613636,179.3395014,PSMD14;JADE1;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,anaphase-promoting complex-dependent catabolic process (GO:0031145),13/79,7.90E-09,7.45E-07,0,0,9.612613636,179.3395014,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,NIK/NF-kappaB signaling (GO:0038061),13/80,9.26E-09,8.25E-07,0,0,9.468656716,175.1515246,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1;UBA3,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,positive regulation of ubiquitin protein ligase activity (GO:1904668),13/82,1.26E-08,1.07E-06,0,0,9.19326087,167.2055572,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,negative regulation of cell cycle G2/M phase transition (GO:1902750),12/69,1.56E-08,1.25E-06,0,0,10.25331408,184.2980248,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,proteasomal ubiquitin-independent protein catabolic process (GO:0010499),8/24,1.70E-08,1.30E-06,0,0,24.1617284,432.237551,PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMA2;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,protein polyubiquitination (GO:0000209),23/283,2.64E-08,1.93E-06,0,0,4.383836292,76.49436917,MAGEL2;RNF34;PSMD14;SIAH2;UBE2D2;UBE2E3;RNF8;UBE2G1;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;RNF139;PSMA2;PSME3;PSMB1;MKRN1;TRIM32,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of stem cell differentiation (GO:2000736),13/88,3.04E-08,2.12E-06,0,0,8.4552,146.3582145,YTHDF2;PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",12/75,4.14E-08,2.77E-06,0,0,9.273957962,157.654805,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,T cell receptor signaling pathway (GO:0050852),17/163,4.97E-08,3.06E-06,0,0,5.716358793,96.13737874,EIF2B5;STOML2;PSMD14;BTN2A2;BTN2A1;UBE2D2;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,nucleotide-excision repair (GO:0006289),14/108,4.93E-08,3.06E-06,0,0,7.276222471,122.4205543,RFC5;RFC4;RPA1;RPA2;GTF2H2;COPS4;COPS3;CDK7;COPS5;PAPD7;COPS2;ERCC5;POLR2H;POLR2K,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,ribosome biogenesis (GO:0042254),20/226,5.34E-08,3.17E-06,0,0,4.787914721,80.17266321,MTERF3;DDX47;TEX10;RPP30;WDR3;RPP40;GTF3A;GNL2;WDR12;UTP18;SENP3;MRM2;RPF1;EMG1;BMS1;EXOSC8;RIOK2;ABCE1;RPL26L1;MPHOSPH6,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),13/93,5.98E-08,3.43E-06,0,0,7.92471875,131.805651,PSMD14;UBE2D2;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of mRNA stability (GO:0043488),15/128,6.49E-08,3.48E-06,0,0,6.49508605,107.4957295,PCID2;YTHDF2;PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;EXOSC8;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),12/78,6.51E-08,3.48E-06,0,0,8.851054183,146.4602236,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,translational termination (GO:0006415),13/96,8.79E-08,4.55E-06,0,0,7.637108434,124.077791,MRPS17;MRPS22;MRPL18;MRPS33;MRPL17;MRPL15;MRPL46;MRPL22;MRPL3;TRMT112;MRPL20;MTRF1;ABCE1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,rRNA modification (GO:0000154),7/22,1.99E-07,9.95E-06,0,0,22.49655172,347.1706478,TRMT112;GAR1;NHP2;TFB2M;TFB1M;MRM2;NOP10,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,rRNA processing (GO:0006364),18/202,2.24E-07,1.09E-05,0,0,4.805365988,73.5722444,DDX47;TEX10;RPP30;WDR3;RPP40;TFB1M;WDR12;UTP18;SENP3;MRM2;RPF1;EMG1;LSM6;BMS1;EXOSC8;NHP2;RIOK2;MPHOSPH6,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",12/88,2.56E-07,1.21E-05,0,0,7.682504266,116.6161325,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of establishment of planar polarity (GO:0090175),12/89,2.90E-07,1.26E-05,0,0,7.582342844,114.1384568,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,ncRNA processing (GO:0034470),19/227,2.76E-07,1.26E-05,0,0,4.49288608,67.85893233,POP7;DDX47;TEX10;RPP30;WDR3;RPP40;ADAT1;WDR12;UTP18;SENP3;MRM2;RPF1;EMG1;KARS;PRKRA;BMS1;EXOSC8;RIOK2;MPHOSPH6,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,RNA splicing (GO:0008380),13/106,2.88E-07,1.26E-05,0,0,6.812419355,102.6046909,MTERF3;DDX47;LSM1;RNF113A;LSM6;PRPF18;MAGOH;SNRPG;DHX15;SNRPA1;TARDBP;SMNDC1;BCAS2,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,protein modification by small protein removal (GO:0070646),20/261,5.54E-07,2.34E-05,0,0,4.08518366,58.85472708,PSMD14;SIAH2;AKR1B1;SENP3;PSMA5;PSMB6;COPS4;POLB;PSMB7;COPS3;PSMD6;PSMD7;PSMA4;PSMB5;COPS5;PSMA1;PSMA2;PSME3;COPS2;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,interleukin-1-mediated signaling pathway (GO:0070498),12/95,5.97E-07,2.42E-05,0,0,7.032058408,100.773595,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMD14;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,cellular response to hypoxia (GO:0071456),14/132,6.17E-07,2.42E-05,0,0,5.789176331,82.7763286,TIGAR;PSMD14;UBE2D2;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,RNA methylation (GO:0001510),9/49,6.19E-07,2.42E-05,0,0,10.88632426,155.6224858,TRMT112;WTAP;THUMPD2;LCMT2;TFB2M;TFB1M;MTO1;MRM2;TRMT61B,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,ubiquitin-dependent protein catabolic process (GO:0006511),23/341,7.54E-07,2.88E-05,0,0,3.573512337,50.3808669,AREL1;TSG101;RNF34;PSMD14;UBE2D2;RNF8;UBE2G1;RNF7;PSMA5;PSMB6;PSMB7;COPS3;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;RNF139;PSMA2;PSME3;PSMB1;TRIM32,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,protein catabolic process (GO:0030163),11/81,8.45E-07,3.15E-05,0,0,7.629246624,106.6884425,PSMA5;PSMB6;PSMB7;PSMA4;PSMB5;PSMA1;PSMA2;SIAH2;NGLY1;PSMB1;UBE2G1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,stimulatory C-type lectin receptor signaling pathway (GO:0002223),13/121,1.34E-06,4.89E-05,0,0,5.861736111,79.26148967,PSMD14;UBE2D2;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,tumor necrosis factor-mediated signaling pathway (GO:0033209),13/123,1.62E-06,5.76E-05,0,0,5.754568182,76.73554233,PSMD14;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;KARS;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,mitochondrial translational elongation (GO:0070125),11/87,1.75E-06,6.05E-05,0,0,7.024777429,93.13291445,MRPS17;MRPL3;TSFM;MRPL20;MRPS22;MRPS33;MRPL18;MRPL17;MRPL15;MRPL46;MRPL22,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,innate immune response activating cell surface receptor signaling pathway (GO:0002220),13/124,1.77E-06,6.05E-05,0,0,5.702432432,75.51496801,PSMD14;UBE2D2;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,mitochondrial translational termination (GO:0070126),11/89,2.20E-06,7.34E-05,0,0,6.84395331,89.17151683,MRPS17;MRPL3;MRPL20;MTRF1;MRPS22;MRPS33;MRPL18;MRPL17;MRPL15;MRPL46;MRPL22,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,nucleic acid phosphodiester bond hydrolysis (GO:0090305),10/73,2.46E-06,7.90E-05,0,0,7.689944464,99.30723801,RFC5;EXD2;FEN1;RAD50;RFC4;PAPD7;RPA1;RPA2;ERCC5;GTF2H2,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,negative regulation of canonical Wnt signaling pathway (GO:0090090),14/148,2.46E-06,7.90E-05,0,0,5.093741817,65.7905713,PSMD14;SIAH2;JADE1;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,protein ubiquitination (GO:0016567),28/506,2.52E-06,7.94E-05,0,0,2.907417269,37.47574273,RNF34;PSMD14;UBE2D2;MAGEF1;RNF8;RNF7;PSMB6;PSMB7;PSMD6;PSMD7;PSMB5;RNF139;PSMB1;TRIM68;AREL1;SIAH2;UBE2E3;UBE2G1;PEX12;PSMA5;RNF103;PSMA4;PSMA1;PSMA2;PSME3;KBTBD2;MKRN1;TRIM32,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),20/291,3.00E-06,9.24E-05,0,0,3.627315662,46.13290313,RNF34;PSMD14;DERL2;RNF7;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;RNF103;PSMA4;PSMB5;PSMA1;RNF139;PSMA2;PSME3;PSMB1;DNAJB9;SEC61B,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,positive regulation of canonical Wnt signaling pathway (GO:0090263),12/113,3.87E-06,0.000117061,0,0,5.773487074,71.95367696,PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;PSMA4;PSMB5;PSMD14;PSMA1;PSMA2;PSME3;PSMB1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,rRNA metabolic process (GO:0016072),16/200,4.34E-06,0.000128914,0,0,4.249917862,52.47643917,DDX47;TEX10;RPP30;WDR3;RPP40;GTF3A;WDR12;UTP18;SENP3;MRM2;RPF1;EMG1;BMS1;EXOSC8;RIOK2;MPHOSPH6,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,"transcription, DNA-templated (GO:0006351)",22/356,5.45E-06,0.000158955,0,0,3.243380247,39.30915528,ZNF143;GTF3C3;MTERF3;GTF2B;TAF11;GTF3A;AKR1B1;DDX21;TFB2M;GTF2H2;MED4;GTF2E2;SNAPC5;CDK7;COPS5;COPS2;TBPL1;TRIP13;POLR2H;TAF5;TARDBP;POLR2K,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,rRNA methylation (GO:0031167),6/23,5.60E-06,0.000160499,0,0,16.9706605,205.211347,TRMT112;EMG1;TFB2M;TFB1M;MRM2;MRM3,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,regulation of mitotic cell cycle phase transition (GO:1901990),15/184,6.86E-06,0.000193183,0,0,4.330379709,51.48421073,PSMD14;MAD2L1BP;PSMA5;PSMB6;PSMB7;PSMD6;PSMD7;CDC23;PSMA4;PSMB5;PSMA1;PSMA2;PSME3;PSMB1;RIOK2,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,translation (GO:0006412),17/232,7.13E-06,0.00019711,0,0,3.868029128,45.8421854,MRPS17;RWDD1;TSFM;MTERF3;MRPL18;MRPS33;HSPA14;HARS2;TRMT112;MRPL3;MTRF1;COPS5;KARS;NHP2;EEF1E1;ABCE1;RPL26L1,GO_Biological_Process_2018,c2,PD
GO_Biological_Process_2018,mRNA processing (GO:0006397),19/283,7.41E-06,0.000201366,0,0,3.529620443,41.69576764,RBM15;GTF2H2;CDK7;SNW1;PRPF18;LSM6;SART3;PCBP1;MAGOH;DHX15;SNRPG;SNRNP27;SNRPE;SNRPA1;POLR2H;SMNDC1;BCAS2;POLR2K;RBM22,GO_Biological_Process_2018,c2,PD
